Scenario ID,Module / Pillar,Scenario Category,Sub-Category / Clinical Phenotype,Surgeon / Actor Role,Pre-Conditions & Clinical Parameters,Execution Action / Trigger,Expected Clinical & System Outcome,Compliance & Clinical Standard,Priority / Risk Level
"SCN-0011","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2a • R1 Positive (Posterolateral)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2a, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0012","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2a • R1 Positive (Posterolateral)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2a, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0013","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2a • R1 Positive (Bladder Neck)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0014","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2a • R1 Positive (Bladder Neck)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0015","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2a • R1 Positive (Bladder Neck)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0016","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2a • R1 Positive (Bladder Neck)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0017","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 3+3=6 • pT2b • R0 Negative","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2b, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-0018","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 3+3=6 • pT2b • R0 Negative","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2b, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-0019","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 3+3=6 • pT2b • R0 Negative","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2b, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-0020","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 3+3=6 • pT2b • R0 Negative","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2b, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-0021","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2b • R1 Positive (Apical)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2b, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0022","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2b • R1 Positive (Apical)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2b, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0023","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2b • R1 Positive (Apical)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2b, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0024","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2b • R1 Positive (Apical)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2b, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0025","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2b • R1 Positive (Posterolateral)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2b, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0026","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2b • R1 Positive (Posterolateral)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2b, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0027","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2b • R1 Positive (Posterolateral)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2b, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0028","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2b • R1 Positive (Posterolateral)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2b, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0029","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2b • R1 Positive (Bladder Neck)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0030","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2b • R1 Positive (Bladder Neck)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0031","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2b • R1 Positive (Bladder Neck)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0032","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2b • R1 Positive (Bladder Neck)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0033","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 3+3=6 • pT2c • R0 Negative","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2c, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-0034","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 3+3=6 • pT2c • R0 Negative","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2c, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-0035","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 3+3=6 • pT2c • R0 Negative","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2c, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-0036","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 3+3=6 • pT2c • R0 Negative","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2c, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-0037","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2c • R1 Positive (Apical)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2c, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0038","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2c • R1 Positive (Apical)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2c, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0039","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2c • R1 Positive (Apical)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2c, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0040","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2c • R1 Positive (Apical)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2c, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0041","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2c • R1 Positive (Posterolateral)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2c, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0042","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2c • R1 Positive (Posterolateral)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2c, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0043","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2c • R1 Positive (Posterolateral)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2c, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0044","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2c • R1 Positive (Posterolateral)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2c, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0045","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2c • R1 Positive (Bladder Neck)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2c, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0046","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+3=6 • pT2c • R1 Positive (Bladder Neck)","VK","Baseline Grade Group 1 (3+3=6), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon VK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2c, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
